Sample2,,denaturata 1M,,denaturata 2M,,denaturata 4M,,denaturata 3M,,denaturata 5M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
347.0700073,668.9854736,347.0700073,748.4569092,347.0700073,798.4460449,347.0700073,804.760376,347.0700073,764.347168,347.0700073,850.5776367,
348,662.2202148,348,734.9345703,348,778.1651001,348,818.9873657,348,765.9085083,348,859.9141235,
349.0700073,649.1068115,349.0700073,735.8637085,349.0700073,774.534668,349.0700073,842.5229492,349.0700073,776.5304565,349.0700073,881.4468384,
350,625.364502,350,711.8614502,350,774.0970459,350,840.0297241,350,769.2802124,350,876.0322266,
351.0700073,607.0802612,351.0700073,708.2737427,351.0700073,754.2740479,351.0700073,859.6798096,351.0700073,775.3075562,351.0700073,889.1071777,
352,608.1898193,352,693.05896,352,726.9974976,352,854.0498047,352,786.5679932,352,887.5276489,
353.0700073,593.8204956,353.0700073,670.5977783,353.0700073,731.5582275,353.0700073,858.0673218,353.0700073,770.8355103,353.0700073,890.786499,
354,583.2800293,354,657.7374268,354,703.2611694,354,857.9012451,354,780.6451416,354,901.8930054,
355.0700073,561.9330444,355.0700073,640.5102539,355.0700073,696.9855347,355.0700073,862.5708618,355.0700073,780.1297607,355.0700073,897.6472778,
356,546.5332031,356,635.0028076,356,684.3319092,356,866.0373535,356,778.6196289,356,906.2231445,
357.0700073,528.6665649,357.0700073,621.204895,357.0700073,665.4055176,357.0700073,859.4138794,357.0700073,767.7627563,357.0700073,902.9910889,
358,520.1052246,358,603.2541504,358,646.1841431,358,862.0488281,358,775.2605591,358,907.5962524,
359.0700073,504.1931152,359.0700073,578.5110474,359.0700073,634.4972534,359.0700073,867.5057373,359.0700073,756.0135498,359.0700073,888.96875,
360,485.8287048,360,563.4976807,360,614.5042114,360,848.5222778,360,763.6968384,360,887.8284302,
361.0700073,474.8894958,361.0700073,553.6378174,361.0700073,583.904541,361.0700073,848.4121094,361.0700073,755.5502319,361.0700073,878.461731,
362,457.7780151,362,537.2781982,362,578.6043701,362,829.4248657,362,735.0515137,362,875.4161377,
363.0700073,442.2626648,363.0700073,514.7362061,363.0700073,557.4759521,363.0700073,832.5238037,363.0700073,735.7974243,363.0700073,865.7803955,
364,420.222229,364,506.81604,364,543.9732056,364,820.9622803,364,720.6212769,364,859.8875732,
365.0700073,412.1128235,365.0700073,479.545105,365.0700073,518.2302856,365.0700073,807.8070679,365.0700073,699.9760132,365.0700073,850.3557129,
366,398.1599426,366,468.291687,366,510.094696,366,797.6643066,366,699.6550903,366,835.2300415,
367.0700073,379.7591553,367.0700073,453.2449036,367.0700073,491.2328491,367.0700073,789.842041,367.0700073,680.2884521,367.0700073,831.7955933,
368,368.2134094,368,434.6812439,368,483.4737549,368,774.6415405,368,666.9782104,368,813.3894043,
369.0700073,353.8927612,369.0700073,427.2817993,369.0700073,463.4338989,369.0700073,760.8153076,369.0700073,657.980896,369.0700073,796.6344604,
370,341.7195129,370,410.5953064,370,450.6381836,370,742.4678345,370,643.2494507,370,781.934082,
371.0700073,324.8400879,371.0700073,396.7838135,371.0700073,432.7300415,371.0700073,732.0780029,371.0700073,624.9464111,371.0700073,769.0829468,
372,313.8472595,372,381.9971924,372,419.8565063,372,728.3434448,372,614.9675903,372,750.6087646,
373.0700073,299.6395264,373.0700073,362.8924561,373.0700073,401.5102539,373.0700073,697.2034302,373.0700073,599.9211426,373.0700073,729.3666992,
374,290.7896118,374,364.2118225,374,383.8927612,374,691.3424072,374,582.8517456,374,726.6641846,
375.0700073,276.2960205,375.0700073,335.8545227,375.0700073,374.0344238,375.0700073,675.1026001,375.0700073,578.960083,375.0700073,701.9009399,
376,264.5459595,376,330.5053406,376,354.6548767,376,657.9615479,376,559.0474854,376,687.1175537,
377.0700073,257.3269958,377.0700073,311.0006104,377.0700073,340.6177979,377.0700073,649.649353,377.0700073,552.5673828,377.0700073,673.8067627,
378,242.2138062,378,304.8399963,378,328.2120667,378,625.0797119,378,530.265686,378,663.8775024,
379.0700073,232.7073517,379.0700073,290.1694031,379.0700073,313.5483398,379.0700073,611.3002319,379.0700073,522.9102783,379.0700073,637.659668,
380,226.4289398,380,278.1004333,380,308.931488,380,590.0126343,380,500.2552795,380,635.4835205,
381.0700073,214.5511627,381.0700073,269.7173767,381.0700073,289.9418945,381.0700073,576.569458,381.0700073,488.8494873,381.0700073,613.6305542,
382,201.5912476,382,254.0301971,382,278.4427795,382,565.9021606,382,469.3257446,382,600.0211792,
383.0700073,192.1420135,383.0700073,249.2329254,383.0700073,270.2563782,383.0700073,543.8110352,383.0700073,456.2978821,383.0700073,570.182312,
384,185.4632874,384,233.4286346,384,257.6817017,384,535.6844482,384,439.2095032,384,562.1678467,
