Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
607.9400024,90.20140839,522.9799805,479.8797607,
608.9699707,86.02115631,524.0200195,481.918396,
609.8499756,84.1036911,525.0700073,488.5421143,
610.8599854,80.15022278,525.9699707,490.546814,
611.8800049,77.47782898,527.0100098,500.5014648,
612.8900146,73.94286346,528.0499878,494.3585815,
613.9099731,70.22989655,528.9500122,489.2972412,
614.9199829,68.13748932,530,488.648468,
615.9400024,65.09716797,531.039978,490.1924744,
616.9500122,62.87444305,531.9400024,487.3065796,
617.9699707,59.9578476,532.9799805,489.831604,
618.8400269,57.49581146,534.0200195,491.3627625,
619.8499756,54.43126297,535.0700073,489.0429688,
620.8800049,52.21118546,535.9699707,488.8939819,
621.9099731,50.18473816,537.0100098,474.6651611,
622.9400024,46.82764435,538.0499878,470.4376526,
623.9699707,45.69572449,538.9500122,463.0334167,
624.8499756,44.3227272,540,451.1196289,
625.8800049,42.08843613,541.039978,437.6860962,
626.9099731,40.53924561,541.9400024,422.5400696,
627.9400024,38.68166733,542.9799805,402.4207458,
628.9699707,36.36074066,544.0200195,378.4179382,
629.8499756,35.15346909,545.0700073,351.6720276,
630.8599854,33.23141479,545.9699707,328.9210815,
631.8800049,31.06770706,547.0100098,301.6506042,
632.8900146,29.60274315,548.0499878,276.4462891,
633.9099731,28.06270409,548.9500122,256.6267395,
634.9199829,27.12649536,550,231.0497131,
635.9400024,25.94478226,,,
636.9500122,24.82132339,,,
637.9699707,23.94159698,,,
638.8400269,22.81944084,,,
639.8499756,21.68304825,,,
640.8599854,20.86393356,,,
641.8800049,20.19788361,,,
642.8900146,19.05840302,,,
643.9099731,18.40231514,,,
644.9199829,17.61898613,,,
645.9400024,16.60191917,,,
646.9500122,16.11652946,,,
647.9699707,15.40126038,,,
648.8400269,15.02297115,,,
649.8499756,14.34061337,,,
650.8599854,13.76617336,,,

Sample2,
Sample2
Collection Time: 4/16/2018 8:59:38 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        535.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               527.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   450
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/16/2018 8:05:09 AM
Method Modifications:
Overlayed Graphs Changed: 4/16/2018 8:57:07 AM, Old:OFF, New:ON
PMT Volts Changed: 4/16/2018 8:57:07 AM, Old:600, New:400
Cell Changer Changed: 4/16/2018 8:57:07 AM, Old:OFF, New:ON
Cell2 Changed: 4/16/2018 8:57:07 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/16/2018 8:57:07 AM, Old:PCB 150, New:Block
User Delta Stop Changed: 4/16/2018 8:57:07 AM, Old: 450.00, New: 527.00
User Delta Increment Changed: 4/16/2018 8:57:07 AM, Old:  10.00, New:   0.15
Emission PMT (V): Changed: 4/16/2018 8:57:07 AM, Old: 600, New: 400
Excitation Wavelength Changed: 4/16/2018 8:57:07 AM, Old: 350.00, New: 527.00
Emission Wavelength Changed: 4/16/2018 8:57:07 AM, Old: 400.00, New: 535.00
Stop Wavelength Changed: 4/16/2018 8:57:07 AM, Old: 600.00, New: 650.00
PMT Volts Changed: 4/16/2018 8:57:50 AM, Old:400, New:600
Emission PMT (V): Changed: 4/16/2018 8:57:50 AM, Old: 400, New: 600
PMT Volts Changed: 4/16/2018 8:58:39 AM, Old:600, New:480
Emission PMT (V): Changed: 4/16/2018 8:58:39 AM, Old: 600, New: 480
PMT Volts Changed: 4/16/2018 8:59:22 AM, Old:480, New:450
