rodamina_526nm		rodamina_450nm		rodamina_480nm		rodamina_510nm		rodamina_530nm		rodamina_520nm		rodamina_510nm		rodamina_460nm	
Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)	Wavelength (nm)	Intensity (a.u.)
561.9099731	854.0050049	486.9599915	0.2380790412	517.0100098	7.16730547	537.0100098	221.0810242	567.0499878	708.258667	557.0100098	861.5582275	547.0100098	624.6872559	497.0100098	0.2364811599
562.9400024	829.536377	488.0299988	-0.1367801875	518.0499878	8.58473587	538.0499878	248.4407349	567.9400024	687.9230347	558.0499878	858.8689575	548.0499878	640.9168091	498.0499878	0.1075326651
563.9699707	803.1184082	488.9299927	0.1314492226	518.9500122	9.978370667	538.9500122	271.0412292	568.9699707	667.2861938	558.9500122	841.5109863	548.9500122	666.2957153	498.9500122	0.2640752196
564.8499756	788.6126099	490	0.3436662257	520	11.85377312	540	298.6341553	570	636.7219238	560	825.5270386	550	680.512207	500	0.3341472745
565.8800049	753.6989746	491.0400085	0.1710220277	521.039978	13.9525013	541.039978	326.3101501	571.039978	609.8046265	561.0200195	812.5469971	551.039978	694.9941406	501.0599976	0.3480309248
566.9099731	726.993042	491.9400024	0.10555204	521.9400024	16.33094215	541.9400024	350.0917358	571.9400024	589.2698364	562.0499878	782.5283813	551.9400024	698.0256348	501.9599915	0.2668303251
567.9400024	697.3925171	492.980011	0.2051282078	522.9799805	19.17055702	542.9799805	378.1714783	572.9799805	569.5244751	562.9400024	769.4230957	552.9799805	705.5424805	503.0299988	0.2671939433
568.9699707	677.4856567	494.019989	0.2497235239	524.0200195	23.13724327	544.0200195	400.8501282	574.0200195	541.7675781	563.9699707	750.1430664	554.0200195	707.6606445	503.9299927	0.262027055
569.8499756	660.335022	495.0700073	-0.06811989099	525.0700073	27.23940849	545.0700073	428.4178467	575.0700073	525.6304932	565	718.4082031	555.0700073	705.5903931	505	0.3291729689
570.8900146	624.8817749	495.9700012	0.1381644905	525.9699707	31.2009182	545.9699707	449.1079102	575.9699707	507.0733337	566.0200195	696.7805786	555.9699707	701.3285522	506.0599976	0.3608433604
571.9400024	603.260376	497.0100098	0.2754346728	527.0100098	36.75193405	547.0100098	471.2102356	577.0100098	483.5412903	567.0499878	669.2139893	557.0100098	696.4664307	506.9599915	0.3103742599
572.8300171	589.5178223	498.0499878	0.1413028091	528.0499878	43.81661987	548.0499878	488.7166138	578.0499878	464.7124329	567.9400024	651.6211548	558.0499878	684.3656616	508.0299988	0.4486671686
573.8800049	560.4405518	498.9500122	0	528.9500122	50.21226883	548.9500122	499.6933594	578.9500122	450.2724609	568.9699707	632.9466553	558.9500122	677.3169556	508.9299927	0.7668508887
574.9199829	536.3288574	500	0.06798558682	530	57.98337173	550	514.3317871	580	434.3064575	570	609.7598267	560	660.6767578	510	0.9079014659
575.9699707	517.7512207	501.0599976	0.03425243869	531.039978	66.92992401	551.039978	521.5811768	581.0200195	416.2239685	571.039978	589.4680176	561.0200195	641.4442749	511.0400085	1.152166367
576.8599854	502.2065125	501.9599915	0.2753872573	531.9400024	74.92032623	551.9400024	527.5532837	582.0499878	397.6083374	571.9400024	562.9382935	562.0499878	633.7802124	511.9400024	1.195165038
577.9099731	477.3185425	503.0299988	0.1714677662	532.9799805	85.85797119	552.9799805	535.6711426	582.9400024	388.531189	572.9799805	548.036438	562.9400024	618.097168	512.9799805	1.484297633
578.9500122	465.6225586	503.9299927	0.1729984134	534.0200195	98.710289	554.0200195	531.6741943	583.9699707	373.3138428	574.0200195	520.0974731	563.9699707	594.7554932	514.0200195	1.744752884
579.8499756	440.8605347	505	0.1409741342	535.0700073	111.4637222	555.0700073	528.151001	585	361.9064636	575.0700073	494.5952148	565	576.1687012	515.0700073	2.050904512
580.8800049	425.1828308	506.0599976	0.2667466998	535.9699707	124.1018753	555.9699707	528.8657227	586.0200195	349.9862061	575.9699707	481.0670471	566.0200195	558.7279053	515.9699707	2.481582165
581.9099731	404.8457336	506.9599915	0.3062578738	537.0100098	140.3831482	557.0100098	530.9873047	587.0499878	337.763855	577.0100098	460.6903992	567.0499878	538.7521973	517.0100098	2.686505556
582.9400024	394.3679199	508.0299988	0.1379976571	538.0499878	156.0709381	558.0499878	514.3265381	587.9400024	330.4066162	578.0499878	443.7761841	567.9400024	523.2645264	518.0499878	3.567868233
583.9699707	386.4816895	508.9299927	0.4966652393	538.9500122	170.1977539	558.9500122	512.9480591	588.9699707	315.6401367	578.9500122	428.3605347	568.9699707	499.6952515	518.9500122	4.12726593
584.8499756	371.4189453	510	0.6489292979	540	187.6468506	560	498.6835632	590	307.9975281	580	409.3313904	570	482.7218323	520	4.750472546
