485 V,,510 V,,535 V,,560 V,,585 V,,610 V,,635 V,,660 V,,685 V,,700 V,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
544.9199829,26.66357613,544.9199829,43.19654465,544.9199829,73.97949219,544.9199829,111.4679871,544.9199829,165.3137054,544.9199829,257.1301575,544.9199829,365.1402893,544.9199829,513.1710205,544.9199829,754.6774902,544.9199829,915.3673096,
545.9699707,27.5919075,545.9699707,44.39649582,545.9699707,76.09349823,545.9699707,114.6728897,545.9699707,169.3731689,545.9699707,263.236969,545.9699707,378.0483093,545.9699707,528.131897,545.9699707,768.225647,545.9699707,938.5891113,
546.8599854,28.09784508,546.8599854,46.01443481,546.8599854,77.36045074,546.8599854,116.8895035,546.8599854,172.3107605,546.8599854,272.6723022,546.8599854,381.155426,546.8599854,535.5390015,546.8599854,794.2957764,546.8599854,955.0576172,
547.9099731,28.57256317,547.9099731,46.2737999,547.9099731,77.28824615,547.9099731,118.033989,547.9099731,174.9369965,547.9099731,274.3653259,547.9099731,385.3456726,547.9099731,543.850708,547.9099731,799.967041,547.9099731,967.7562866,
548.9500122,29.04232597,548.9500122,46.74437332,548.9500122,79.57187653,548.9500122,119.7651443,548.9500122,177.3935852,548.9500122,276.9674683,548.9500122,392.027771,548.9500122,552.2364502,548.9500122,816.0695801,548.9500122,973.2450562,
549.8499756,29.13545036,549.8499756,46.72452927,549.8499756,79.56452942,549.8499756,120.6104431,549.8499756,178.4281921,549.8499756,279.421814,549.8499756,393.4452515,549.8499756,554.1293945,549.8499756,819.9142456,549.8499756,981.798584,
550.8900146,28.96312141,550.8900146,46.53421402,550.8900146,80.6985321,550.8900146,119.7368927,550.8900146,178.6461182,550.8900146,279.4011841,550.8900146,395.5954285,550.8900146,560.2211914,550.8900146,822.355896,550.8900146,984.9312744,
551.9400024,29.03591156,551.9400024,46.9664917,551.9400024,79.88422394,551.9400024,119.4543457,551.9400024,178.9815369,551.9400024,279.1845093,551.9400024,394.9789429,551.9400024,553.0148315,551.9400024,815.9769287,551.9400024,979.5977783,
552.8300171,28.28803825,552.8300171,46.08110428,552.8300171,80.04251862,552.8300171,119.4852219,552.8300171,176.9360046,552.8300171,276.5656738,552.8300171,394.521698,552.8300171,553.7833252,552.8300171,816.8609009,552.8300171,967.1309204,
553.8800049,28.59632492,553.8800049,46.42150879,553.8800049,79.08789825,553.8800049,118.9886322,553.8800049,175.920517,553.8800049,274.3695679,553.8800049,387.9768066,553.8800049,547.0411987,553.8800049,801.0965576,553.8800049,965.5772705,
554.9199829,27.96261406,554.9199829,45.25302887,554.9199829,77.66875458,554.9199829,117.0613708,554.9199829,172.6754456,554.9199829,271.8084717,554.9199829,379.1602783,554.9199829,539.0131836,554.9199829,795.1380615,554.9199829,962.6555786,
555.9699707,27.23765755,555.9699707,44.18965912,555.9699707,75.86290741,555.9699707,114.4425201,555.9699707,171.0218811,555.9699707,264.4577942,555.9699707,376.0950928,555.9699707,526.6351318,555.9699707,781.2349854,555.9699707,957.8292847,
556.8599854,26.97143745,556.8599854,43.59741974,556.8599854,75.70836639,556.8599854,112.4724731,556.8599854,167.4609222,556.8599854,260.0641174,556.8599854,371.8998108,556.8599854,520.4559326,556.8599854,762.3590698,556.8599854,927.1531372,
557.9099731,26.6282692,557.9099731,43.4673996,557.9099731,72.72277832,557.9099731,110.2408676,557.9099731,166.2166138,557.9099731,256.4554443,557.9099731,363.6034851,557.9099731,508.5643005,557.9099731,750,557.9099731,899.4366455,
558.9500122,25.75835228,558.9500122,41.8503952,558.9500122,70.83351135,558.9500122,106.8408279,558.9500122,161.6434021,558.9500122,246.6940308,558.9500122,353.5721741,558.9500122,499.4504395,558.9500122,730.2119751,558.9500122,876.5222168,
559.8499756,25.59505653,559.8499756,41.3309288,559.8499756,69.95301819,559.8499756,105.6991501,559.8499756,157.4393768,559.8499756,243.4191742,559.8499756,343.4044189,559.8499756,485.6779175,559.8499756,713.4308472,559.8499756,864.4763184,
