Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,Sample2,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
564.8499756,747.5638428,564.8499756,542.2765503,564.8499756,459.6029968,564.8499756,242.2729187,564.8499756,200.0622559,564.8499756,142.8861542,564.8499756,94.68991852,564.8499756,43.31263351,564.8499756,20.96913528,
565.8800049,717.5783081,565.8800049,519.5119629,565.8800049,442.8890076,565.8800049,231.035141,565.8800049,191.4812622,565.8800049,138.2684479,565.8800049,90.98902893,565.8800049,41.76192856,565.8800049,20.27340126,
566.9099731,693.1226807,566.9099731,508.1396179,566.9099731,426.5141907,566.9099731,224.4536285,566.9099731,185.5061493,566.9099731,133.0754242,566.9099731,88.90907288,566.9099731,40.24335098,566.9099731,19.36486435,
567.9400024,662.0194702,567.9400024,481.3245239,567.9400024,408.4917297,567.9400024,215.0775146,567.9400024,178.301178,567.9400024,127.0554199,567.9400024,84.79807281,567.9400024,38.61198044,567.9400024,18.40997696,
568.9699707,640.4624634,568.9699707,465.0706787,568.9699707,394.9162598,568.9699707,207.3203125,568.9699707,170.9411774,568.9699707,121.8748779,568.9699707,81.21120453,568.9699707,36.74874496,568.9699707,17.90104485,
569.8499756,622.1809082,569.8499756,450.0403137,569.8499756,380.5275574,569.8499756,200.4320984,569.8499756,165.5802307,569.8499756,118.9467468,569.8499756,78.98055267,569.8499756,35.77380753,569.8499756,17.66578674,
570.8900146,592.4735718,570.8900146,430.3027954,570.8900146,360.1469116,570.8900146,193.5383453,570.8900146,158.1349487,570.8900146,113.1573563,570.8900146,75.57553864,570.8900146,34.21082687,570.8900146,17.02498817,
571.9400024,560.8255615,571.9400024,415.7677917,571.9400024,348.6653748,571.9400024,185.5298004,571.9400024,149.7347565,571.9400024,107.7209702,571.9400024,71.84739685,571.9400024,33.09034348,571.9400024,15.83676052,
572.8300171,547.5487671,572.8300171,397.8246155,572.8300171,339.9036865,572.8300171,176.4322357,572.8300171,145.5510864,572.8300171,105.8221893,572.8300171,69.87728119,572.8300171,31.50042534,572.8300171,15.63489628,
573.8800049,527.026001,573.8800049,387.0720215,573.8800049,320.8799133,573.8800049,170.4343109,573.8800049,139.0579834,573.8800049,100.7071304,573.8800049,66.22489929,573.8800049,31.02946091,573.8800049,14.77162266,
574.9199829,503.3588867,574.9199829,367.828949,574.9199829,309.3899841,574.9199829,162.6618805,574.9199829,134.6268463,574.9199829,96.12162781,574.9199829,63.95710373,574.9199829,29.01155281,574.9199829,13.82161903,
575.9699707,482.1408691,575.9699707,351.6004333,575.9699707,297.3210449,575.9699707,156.9806824,575.9699707,129.0671692,575.9699707,92.66347504,575.9699707,60.9327774,575.9699707,27.82909966,575.9699707,13.37792587,
576.8599854,469.3134155,576.8599854,343.5858154,576.8599854,288.444458,576.8599854,151.7570038,576.8599854,124.2612915,576.8599854,89.81243896,576.8599854,58.52950668,576.8599854,26.98499107,576.8599854,13.13686466,
577.9099731,442.6688538,577.9099731,327.899292,577.9099731,276.0416565,577.9099731,145.1283875,577.9099731,118.2641678,577.9099731,85.48259735,577.9099731,57.16353226,577.9099731,25.7284565,577.9099731,12.78475094,
578.9500122,431.73349,578.9500122,315.6875,578.9500122,267.8606262,578.9500122,138.9602051,578.9500122,113.8348465,578.9500122,82.33011627,578.9500122,54.66312027,578.9500122,25.0480957,578.9500122,11.98516464,
579.8499756,416.6995239,579.8499756,305.3339844,579.8499756,255.8850098,579.8499756,133.8364563,579.8499756,110.0670624,579.8499756,79.9984436,579.8499756,52.4093895,579.8499756,23.80505371,579.8499756,11.35707378,
580.8800049,398.5568848,580.8800049,293.6942139,580.8800049,249.5909576,580.8800049,128.7426147,580.8800049,106.1864471,580.8800049,76.93218231,580.8800049,50.38744736,580.8800049,22.99104691,580.8800049,11.12828445,
581.9099731,382.249939,581.9099731,283.5837708,581.9099731,239.1028442,581.9099731,124.184021,581.9099731,102.1200562,581.9099731,73.8265686,581.9099731,49.05601883,581.9099731,22.21384048,581.9099731,10.89823151,
582.9400024,367.9640808,582.9400024,274.7996521,582.9400024,228.1583405,582.9400024,118.6943665,582.9400024,97.67799377,582.9400024,71.38684082,582.9400024,46.59441376,582.9400024,21.02174568,582.9400024,10.44376278,
583.9699707,358.362915,583.9699707,261.8908691,583.9699707,219.8909149,583.9699707,115.2494507,583.9699707,94.66702271,583.9699707,66.75123596,583.9699707,44.99530029,583.9699707,20.38614273,583.9699707,9.986330986,
584.8499756,346.7481079,584.8499756,254.647522,584.8499756,211.8721466,584.8499756,112.2121964,584.8499756,91.87673187,584.8499756,65.93495178,584.8499756,43.26678085,584.8499756,20.37292862,584.8499756,9.920942307,
585.8800049,332.9573364,585.8800049,245.9498138,585.8800049,206.3934784,585.8800049,107.594696,585.8800049,87.96134186,585.8800049,64.48223114,585.8800049,41.97924042,585.8800049,19.26887131,585.8800049,9.220784187,
586.9099731,324.1764221,586.9099731,239.6625977,586.9099731,200.1010437,586.9099731,104.7021484,586.9099731,84.98392487,586.9099731,61.98049545,586.9099731,40.59529114,586.9099731,18.49410629,586.9099731,9.074059486,
587.9400024,311.4571838,587.9400024,230.159317,587.9400024,192.8165588,587.9400024,101.1149902,587.9400024,82.50787354,587.9400024,59.63558197,587.9400024,39.40905762,587.9400024,17.89865303,587.9400024,8.761256218,
588.9699707,305.0207214,588.9699707,223.7239532,588.9699707,186.8551941,588.9699707,98.38340759,588.9699707,80.07324982,588.9699707,58.15931702,588.9699707,38.14682007,588.9699707,16.92568207,588.9699707,8.152699471,
589.8499756,291.071228,589.8499756,215.8488312,589.8499756,180.7720795,589.8499756,94.28400421,589.8499756,78.02547455,589.8499756,56.19011688,589.8499756,36.91327286,589.8499756,16.81892967,589.8499756,8.291939735,
590.8800049,284.7764282,590.8800049,208.9977722,590.8800049,174.4441986,590.8800049,91.65052795,590.8800049,75.0476532,590.8800049,54.74250412,590.8800049,35.65640259,590.8800049,16.28574753,590.8800049,7.717842102,
591.9099731,273.2596741,591.9099731,201.1272583,591.9099731,168.7290802,591.9099731,88.18428802,591.9099731,73.14186859,591.9099731,53.48460388,591.9099731,34.48932266,591.9099731,15.76532459,591.9099731,7.560421467,
592.9400024,267.0916748,592.9400024,195.1983795,592.9400024,165.4357452,592.9400024,86.21852875,592.9400024,70.25111389,592.9400024,51.29325867,592.9400024,33.90870667,592.9400024,15.07595539,592.9400024,7.189359665,
593.9699707,260.0824585,593.9699707,186.5198212,593.9699707,159.3599091,593.9699707,82.7932663,593.9699707,68.17069244,593.9699707,49.41426086,593.9699707,32.38866425,593.9699707,14.53543282,593.9699707,7.103825092,
594.8499756,250.4912567,594.8499756,183.7817841,594.8499756,156.948349,594.8499756,80.59899902,594.8499756,67.3210144,594.8499756,48.64931488,594.8499756,31.61476517,594.8499756,14.47099972,594.8499756,7.18586874,
595.8800049,243.5488586,595.8800049,178.0780487,595.8800049,150.1298828,595.8800049,78.0451355,595.8800049,65.09033966,595.8800049,47.21947479,595.8800049,30.66518211,595.8800049,14.19349957,595.8800049,6.884950638,
596.9099731,237.2911987,596.9099731,174.1080017,596.9099731,145.5080109,596.9099731,75.76659393,596.9099731,62.56437302,596.9099731,45.35548401,596.9099731,29.92339706,596.9099731,13.71254444,596.9099731,6.301445484,
597.9400024,229.3168182,597.9400024,167.4707336,597.9400024,140.207962,597.9400024,73.39237976,597.9400024,61.15735245,597.9400024,43.70608521,597.9400024,28.58395958,597.9400024,12.81954384,597.9400024,6.167116642,
598.9699707,221.1845245,598.9699707,163.2207642,598.9699707,135.7322998,598.9699707,70.75399017,598.9699707,58.6502533,598.9699707,41.98904037,598.9699707,27.65192986,598.9699707,12.32462597,598.9699707,5.967846394,
599.8499756,214.334671,599.8499756,156.3418579,599.8499756,132.2276154,599.8499756,69.03557587,599.8499756,57.10719299,599.8499756,41.24280548,599.8499756,26.83582306,599.8499756,12.22061443,599.8499756,5.78257513,
600.8800049,208.2616882,600.8800049,150.6628723,600.8800049,127.5284882,600.8800049,66.66159821,600.8800049,55.39744186,600.8800049,39.70934677,600.8800049,25.83055115,600.8800049,11.64447689,600.8800049,5.714514256,
601.9099731,199.9183807,601.9099731,147.5624695,601.9099731,123.4154358,601.9099731,64.41265869,601.9099731,52.8669548,601.9099731,38.29853821,601.9099731,25.34360886,601.9099731,11.10717297,601.9099731,5.421233654,
602.9400024,193.9359741,602.9400024,140.7421265,602.9400024,119.6684723,602.9400024,62.61516953,602.9400024,51.32481766,602.9400024,37.25543594,602.9400024,24.24933243,602.9400024,10.8581028,602.9400024,5.457186699,
603.9699707,186.1930237,603.9699707,136.6541901,603.9699707,114.6770172,603.9699707,60.94182587,603.9699707,49.45451736,603.9699707,35.63825226,603.9699707,23.29417419,603.9699707,10.79066086,603.9699707,5.18175745,
604.8499756,180.9229431,604.8499756,130.4803619,604.8499756,110.7185822,604.8499756,58.19189453,604.8499756,47.88479614,604.8499756,34.41802597,604.8499756,22.40026093,604.8499756,10.29231644,604.8499756,4.840724468,
605.8800049,173.7983551,605.8800049,127.0357056,605.8800049,105.2631607,605.8800049,56.68144226,605.8800049,45.86833191,605.8800049,33.36541748,605.8800049,21.53910446,605.8800049,9.421910286,605.8800049,4.695746422,
606.9099731,167.4180603,606.9099731,121.0605164,606.9099731,101.8033295,606.9099731,54.17386627,606.9099731,43.82268143,606.9099731,31.88704681,606.9099731,21.09246063,606.9099731,9.657205582,606.9099731,4.854369164,
607.9400024,159.6268921,607.9400024,116.7558975,607.9400024,99.47166443,607.9400024,51.72543716,607.9400024,42.43797302,607.9400024,30.56234741,607.9400024,20.03808784,607.9400024,8.791887283,607.9400024,4.295735836,
608.9699707,155.3006744,608.9699707,111.7210541,608.9699707,94.17297363,608.9699707,49.38982391,608.9699707,40.75550842,608.9699707,29.20173836,608.9699707,19.34978104,608.9699707,8.916242599,608.9699707,4.059753418,
609.8499756,149.1372986,609.8499756,108.0804596,609.8499756,90.75720978,609.8499756,47.97092056,609.8499756,39.4225235,609.8499756,28.47090149,609.8499756,18.3405056,609.8499756,8.075856209,609.8499756,3.961049557,
610.8599854,143.5013275,610.8599854,103.6814957,610.8599854,87.57234192,610.8599854,46.4876442,610.8599854,37.96785355,610.8599854,27.30621338,610.8599854,17.78569984,610.8599854,8.096847534,610.8599854,3.916553259,
611.8800049,137.1551666,611.8800049,99.64329529,611.8800049,84.43501282,611.8800049,44.33306122,611.8800049,35.98200989,611.8800049,26.24759674,611.8800049,17.33437538,611.8800049,7.63329649,611.8800049,3.639038324,
612.8900146,132.6082916,612.8900146,95.79779053,612.8900146,81.46601105,612.8900146,42.24478912,612.8900146,34.42847061,612.8900146,25.21642494,612.8900146,16.43412209,612.8900146,7.476053238,612.8900146,3.516396761,
613.9099731,126.4228973,613.9099731,91.84575653,613.9099731,77.59074402,613.9099731,41.33072662,613.9099731,32.91474915,613.9099731,23.74744225,613.9099731,15.65322113,613.9099731,6.716650963,613.9099731,3.727865934,
614.9199829,121.7243347,614.9199829,87.97866058,614.9199829,73.83228302,614.9199829,38.7912941,614.9199829,31.76660156,614.9199829,22.91859627,614.9199829,15.02524185,614.9199829,6.711409569,614.9199829,3.448546171,
615.9400024,116.8560333,615.9400024,84.2861557,615.9400024,71.34767914,615.9400024,37.30783463,615.9400024,30.07825279,615.9400024,22.38267136,615.9400024,14.30199242,615.9400024,6.6205616,615.9400024,3.126954317,
616.9500122,112.5684204,616.9500122,81.29856873,616.9500122,68.58969116,616.9500122,35.73600769,616.9500122,29.07304382,616.9500122,20.65864563,616.9500122,13.81824017,616.9500122,6.134490013,616.9500122,3.270189524,
617.9699707,106.7614441,617.9699707,77.26945496,617.9699707,65.08875275,617.9699707,34.06690598,617.9699707,27.94763184,617.9699707,19.96325684,617.9699707,13.07296371,617.9699707,6.122929573,617.9699707,2.78651309,
618.8400269,102.3922806,618.8400269,74.09967041,618.8400269,62.45148087,618.8400269,32.8020668,618.8400269,27.0843792,618.8400269,19.13970757,618.8400269,12.71918964,618.8400269,5.590442657,618.8400269,2.767892599,
619.8499756,98.1262207,619.8499756,71.24908447,619.8499756,59.74818039,619.8499756,30.97032547,619.8499756,25.72817612,619.8499756,18.78376198,619.8499756,12.12733746,619.8499756,5.501514912,619.8499756,2.467277288,
620.8800049,93.03179932,620.8800049,67.3010788,620.8800049,57.26535034,620.8800049,29.90235138,620.8800049,24.231493,620.8800049,17.82069397,620.8800049,11.69960499,620.8800049,4.910490036,620.8800049,2.720136881,
621.9099731,89.54118347,621.9099731,64.42258453,621.9099731,54.18508911,621.9099731,28.08858681,621.9099731,23.02369499,621.9099731,16.87730598,621.9099731,10.94846153,621.9099731,5.021850586,621.9099731,2.072336197,
622.9400024,85.24446869,622.9400024,61.52733612,622.9400024,52.10460281,622.9400024,27.03240013,622.9400024,22.38579559,622.9400024,15.82161713,622.9400024,10.76383305,622.9400024,4.602260113,622.9400024,2.268017054,
623.9699707,81.26803589,623.9699707,59.90766144,623.9699707,49.53666687,623.9699707,25.89626312,623.9699707,21.22926903,623.9699707,15.51303291,623.9699707,9.988855362,623.9699707,4.558469296,623.9699707,2.240333796,
624.8499756,77.74290466,624.8499756,56.09600449,624.8499756,47.27744293,624.8499756,24.73837852,624.8499756,20.52128792,624.8499756,14.45540619,624.8499756,9.603937149,624.8499756,4.186046124,624.8499756,2.319814444,
625.8800049,73.82036591,625.8800049,54.28329086,625.8800049,45.31430817,625.8800049,23.73311424,625.8800049,19.67073822,625.8800049,14.27735519,625.8800049,9.343101501,625.8800049,3.997715712,625.8800049,1.844222069,
626.9099731,70.76008606,626.9099731,51.67288971,626.9099731,43.00777054,626.9099731,22.62939453,626.9099731,18.63230896,626.9099731,13.63531303,626.9099731,8.796369553,626.9099731,4.256482124,626.9099731,1.776557565,
627.9400024,67.30445099,627.9400024,49.48493958,627.9400024,41.70070267,627.9400024,21.33222198,627.9400024,17.76824379,627.9400024,13.03501987,627.9400024,8.356091499,627.9400024,3.597258568,627.9400024,1.758311987,
628.9699707,64.14859009,628.9699707,47.29552078,628.9699707,39.59542847,628.9699707,20.14759445,628.9699707,16.78145981,628.9699707,12.1946373,628.9699707,7.963638783,628.9699707,3.384287596,628.9699707,1.729374051,
629.8499756,61.63671494,629.8499756,44.91836548,629.8499756,37.76300049,629.8499756,19.78963852,629.8499756,16.07392502,629.8499756,11.69115829,629.8499756,7.626881599,629.8499756,3.268219233,629.8499756,1.846920371,
630.8599854,58.45419312,630.8599854,42.77179337,630.8599854,35.95626831,630.8599854,18.72238159,630.8599854,15.78123093,630.8599854,11.30532742,630.8599854,7.059023857,630.8599854,3.389698505,630.8599854,1.487197995,
631.8800049,56.41321564,631.8800049,41.03397751,631.8800049,33.86619949,631.8800049,17.63079071,631.8800049,14.61295414,631.8800049,10.29853725,631.8800049,6.76697731,631.8800049,2.991485834,631.8800049,1.25825727,
632.8900146,53.67375183,632.8900146,38.57384109,632.8900146,32.68370438,632.8900146,16.97708321,632.8900146,14.30798149,632.8900146,9.722332954,632.8900146,6.42969799,632.8900146,2.749912977,632.8900146,1.4285115,
633.9099731,51.15326309,633.9099731,36.79585648,633.9099731,31.1576004,633.9099731,16.10429382,633.9099731,13.25668716,633.9099731,9.402895927,633.9099731,6.443047523,633.9099731,2.691943169,633.9099731,1.071598649,
634.9199829,48.4929924,634.9199829,35.10067749,634.9199829,29.46977615,634.9199829,15.54764843,634.9199829,12.57667542,634.9199829,9.484199524,634.9199829,5.864160061,634.9199829,2.640743971,634.9199829,1.475161552,
635.9400024,46.49815369,635.9400024,33.42855072,635.9400024,27.97483063,635.9400024,14.58158779,635.9400024,11.84890652,635.9400024,8.854286194,635.9400024,5.563827038,635.9400024,2.573034525,635.9400024,1.323812485,
636.9500122,45.2036705,636.9500122,32.29628372,636.9500122,27.25185394,636.9500122,14.22933865,636.9500122,11.71936512,636.9500122,8.383771896,636.9500122,5.355515003,636.9500122,2.449169874,636.9500122,1.048556209,
637.9699707,42.985672,637.9699707,30.90326691,637.9699707,26.23994064,637.9699707,13.4013052,637.9699707,10.98561001,637.9699707,8.023715973,637.9699707,5.068586826,637.9699707,2.343780994,637.9699707,1.165220141,
638.8400269,41.05888748,638.8400269,29.51402092,638.8400269,25.20788002,638.8400269,13.09348583,638.8400269,10.51968002,638.8400269,7.759303093,638.8400269,4.856122017,638.8400269,2.276849508,638.8400269,0.8435767293,
639.8499756,39.10676193,639.8499756,28.44484138,639.8499756,23.93102837,639.8499756,12.59754753,639.8499756,9.842838287,639.8499756,7.320587158,639.8499756,4.541109085,639.8499756,1.924619079,639.8499756,0.8912295103,
640.8599854,37.22111893,640.8599854,27.29775238,640.8599854,23.01161766,640.8599854,11.97741032,640.8599854,9.793125153,640.8599854,7.03050518,640.8599854,4.385624409,640.8599854,2.163533449,640.8599854,0.8609027267,
641.8800049,35.94986725,641.8800049,25.9335289,641.8800049,22.23680687,641.8800049,11.32090092,641.8800049,9.173583031,641.8800049,6.810301781,641.8800049,4.443570614,641.8800049,1.717098475,641.8800049,0.9609609842,
642.8900146,34.40617371,642.8900146,24.47146988,642.8900146,20.79156494,642.8900146,10.77075863,642.8900146,8.9123106,642.8900146,6.484121323,642.8900146,4.244949341,642.8900146,1.983294487,642.8900146,1.102715969,
643.9099731,32.68187714,643.9099731,23.67495346,643.9099731,20.00772667,643.9099731,10.23302174,643.9099731,8.496631622,643.9099731,6.125155926,643.9099731,4.146428108,643.9099731,1.748183846,643.9099731,0.8869180083,
644.9199829,31.17743301,644.9199829,22.58872795,644.9199829,18.69123077,644.9199829,9.978477478,644.9199829,8.009982109,644.9199829,5.676666737,644.9199829,4.03097105,644.9199829,1.67310679,644.9199829,1.021367073,
645.9400024,30.03975868,645.9400024,22.05205536,645.9400024,18.54234314,645.9400024,9.358394623,645.9400024,7.737614155,645.9400024,5.514781952,645.9400024,3.613814831,645.9400024,1.251858234,645.9400024,0.7876626849,
646.9500122,28.64698219,646.9500122,20.64553642,646.9500122,17.62946701,646.9500122,8.702531815,646.9500122,7.750162601,646.9500122,5.327396393,646.9500122,3.620505333,646.9500122,1.511655688,646.9500122,0.8084385991,
647.9699707,27.4296093,647.9699707,19.70720673,647.9699707,16.78034401,647.9699707,8.704857826,647.9699707,7.235161781,647.9699707,5.188015461,647.9699707,3.517852068,647.9699707,1.522127867,647.9699707,0.8786293268,
648.8400269,26.48293304,648.8400269,19.09405518,648.8400269,15.86171436,648.8400269,8.550391197,648.8400269,6.745297432,648.8400269,4.629253387,648.8400269,3.086670637,648.8400269,1.578755617,648.8400269,1.070918679,
649.8499756,25.43009567,649.8499756,18.30147552,649.8499756,15.37204266,649.8499756,7.930245399,649.8499756,6.209076405,649.8499756,4.651162624,649.8499756,3.058353424,649.8499756,1.650165081,649.8499756,0.9143311381,
650.8599854,24.1560173,650.8599854,17.93821335,650.8599854,14.69324017,650.8599854,7.422991753,650.8599854,5.962619305,650.8599854,4.54693079,650.8599854,2.895792723,650.8599854,1.316787124,650.8599854,0.6122949123,

Sample2,
Sample2
Collection Time: 4/16/2018 9:38:00 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          EL00063371
Data mode                         Fluorescence
Scan mode                         Emission
X Mode                            Wavelength (nm)
Start (nm)                        535.00
Stop (nm)                         650.00
Ex. Wavelength (nm)               527.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   485
Corrected spectra                 OFF
Multicell holder                  Multicell
Multi zero                       OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/16/2018 8:05:09 AM
Method Modifications:
Overlayed Graphs Changed: 4/16/2018 8:57:07 AM, Old:OFF, New:ON
PMT Volts Changed: 4/16/2018 8:57:07 AM, Old:600, New:400
Cell Changer Changed: 4/16/2018 8:57:07 AM, Old:OFF, New:ON
Cell2 Changed: 4/16/2018 8:57:07 AM, Old:OFF, New:ON
Monitoring device: Changed: 4/16/2018 8:57:07 AM, Old:PCB 150, New:Block
